"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 25 16:32:07 IST 2024","Tue Jun 25 16:32:07 IST 2024","3","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","openBrowser","openBrowser",""
"passed","Tue Jul 09 11:17:09 IST 2024","Tue Jul 09 11:17:11 IST 2024","1982","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","termsRedirectionTest","termsRedirectionTest",""
"passed","Wed Jul 10 12:54:10 IST 2024","Wed Jul 10 12:54:12 IST 2024","1348","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","Postive_Test3","Postive_Test3",""
"passed","Fri Jul 12 12:41:24 IST 2024","Fri Jul 12 12:41:37 IST 2024","13429","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.User.PayBill","org.example.User.PayBill","Paybill","Paybill",""
"passed","Wed Jul 10 10:14:43 IST 2024","Wed Jul 10 10:14:48 IST 2024","4974","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RSignUp","org.example.Resturant.RSignUp","SignupPage_Postive","SignupPage_Postive",""
"broken","Mon Jul 01 11:20:56 IST 2024","Mon Jul 01 11:20:56 IST 2024","152","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","CreateParty","CreateParty",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","3","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","emptyPasswordTest","emptyPasswordTest",""
"passed","Tue Jul 09 11:16:57 IST 2024","Tue Jul 09 11:16:58 IST 2024","919","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","loginRedirectionTest","loginRedirectionTest",""
"passed","Wed Jul 10 10:14:04 IST 2024","Wed Jul 10 10:14:05 IST 2024","661","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RSignUp","org.example.Resturant.RSignUp","chooseSubscriptionPlan","chooseSubscriptionPlan",""
"passed","Thu Jul 11 14:33:18 IST 2024","Thu Jul 11 14:33:20 IST 2024","2130","Default Suite","SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","Nagtive_Test2","Nagtive_Test2",""
"broken","Wed Jul 03 12:40:31 IST 2024","Wed Jul 03 12:40:31 IST 2024","35","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","setUp","setUp",""
"failed","Fri Jul 12 12:34:57 IST 2024","Fri Jul 12 12:34:57 IST 2024","638","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.User.LoginPage","org.example.User.LoginPage","LoginwithwithoutEmail","LoginwithwithoutEmail",""
"broken","Fri Jul 12 12:33:20 IST 2024","Fri Jul 12 12:34:03 IST 2024","42965","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.User.Dashboard","org.example.User.Dashboard","LoginUser","LoginUser",""
"passed","Wed Jul 10 10:14:09 IST 2024","Wed Jul 10 10:14:12 IST 2024","2654","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RSignUp","org.example.Resturant.RSignUp","SignupPage_Nagtive","SignupPage_Nagtive",""
"passed","Thu Jul 11 14:34:13 IST 2024","Thu Jul 11 14:34:18 IST 2024","4656","Default Suite","SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","Postive_Test","Postive_Test",""
"passed","Tue Jul 09 10:29:00 IST 2024","Tue Jul 09 10:29:02 IST 2024","2238","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","InvaliduserNotFound","InvaliduserNotFound",""
"passed","Thu Jul 04 15:05:30 IST 2024","Thu Jul 04 15:05:32 IST 2024","1956","Default Suite","SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","Paybill","Paybill",""
"broken","Thu Jun 27 12:14:18 IST 2024","Thu Jun 27 12:14:18 IST 2024","2","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","termsRedirectionTest","termsRedirectionTest",""
"skipped","Thu Jun 27 12:40:08 IST 2024","Thu Jun 27 12:40:08 IST 2024","8","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","signUpwithoutfirstname","signUpwithoutfirstname",""
"failed","Wed Jul 03 13:24:51 IST 2024","Wed Jul 03 13:25:35 IST 2024","43136","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","LoginUser","LoginUser",""
"broken","Tue Jun 25 15:51:33 IST 2024","Tue Jun 25 15:51:33 IST 2024","2","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","close","close",""
"passed","Thu Jul 04 14:59:14 IST 2024","Thu Jul 04 14:59:21 IST 2024","7351","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","CopyUrl","CopyUrl",""
"broken","Wed Jun 26 15:36:19 IST 2024","Wed Jun 26 15:36:22 IST 2024","2887","Default Suite","SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","signUpwithoutEmail","signUpwithoutEmail",""
"broken","Tue Jul 02 16:32:24 IST 2024","Tue Jul 02 16:32:24 IST 2024","87","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.OpenShareLink","org.example.OpenShareLink","MyParties","MyParties",""
"broken","Fri Jun 28 18:33:57 IST 2024","Fri Jun 28 18:33:57 IST 2024","2","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","setUp","setUp",""
"passed","Fri Jul 12 12:35:11 IST 2024","Fri Jul 12 12:35:12 IST 2024","816","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.User.LoginPage","org.example.User.LoginPage","Invalidemailformat","Invalidemailformat",""
"passed","Fri Jul 12 12:28:58 IST 2024","Fri Jul 12 12:29:01 IST 2024","3621","Default Suite","SeleniumSkwadProject","org.example.User.Signpage","org.example.User.Signpage","signUpPage","signUpPage",""
"passed","Thu Jul 11 14:33:32 IST 2024","Thu Jul 11 14:33:34 IST 2024","2156","Default Suite","SeleniumSkwadProject","org.example.Resturant.RLoginPage","org.example.Resturant.RLoginPage","Nagtive_Test3","Nagtive_Test3",""
"passed","Tue Jul 09 11:16:33 IST 2024","Tue Jul 09 11:16:37 IST 2024","3648","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","signUpalreadyexistEmail","signUpalreadyexistEmail",""
"passed","Tue Jul 09 10:28:51 IST 2024","Tue Jul 09 10:28:53 IST 2024","1389","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","Invalidemailformat","Invalidemailformat",""
"passed","Mon Jul 15 15:41:24 IST 2024","Mon Jul 15 15:41:24 IST 2024","31","Default Suite","SeleniumSkwadProject","org.example.Resturant.Payment","org.example.Resturant.Payment","Payment","Payment",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","3","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","inValidPhoneTest","inValidPhoneTest",""
"passed","Fri Jul 12 12:29:09 IST 2024","Fri Jul 12 12:29:14 IST 2024","4198","Default Suite","SeleniumSkwadProject","org.example.User.Signpage","org.example.User.Signpage","signUpalreadyexistEmail","signUpalreadyexistEmail",""
"passed","Fri Jul 12 12:29:36 IST 2024","Fri Jul 12 12:29:37 IST 2024","965","Default Suite","SeleniumSkwadProject","org.example.User.Signpage","org.example.User.Signpage","loginRedirectionTest","loginRedirectionTest",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","3","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","inValidPasswordTest","inValidPasswordTest",""
"passed","Wed Jul 10 10:14:20 IST 2024","Wed Jul 10 10:14:25 IST 2024","4395","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RSignUp","org.example.Resturant.RSignUp","SignupPage_Nagtive1","SignupPage_Nagtive1",""
"passed","Fri Jul 12 12:35:18 IST 2024","Fri Jul 12 12:35:20 IST 2024","2210","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.User.LoginPage","org.example.User.LoginPage","InvaliduserNotFound","InvaliduserNotFound",""
"passed","Tue Jul 09 14:46:14 IST 2024","Tue Jul 09 14:46:16 IST 2024","2343","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Resturant.RSignUp","org.example.Resturant.RSignUp","SignupPage","SignupPage",""
"skipped","Tue Jun 25 16:18:48 IST 2024","Tue Jun 25 16:18:48 IST 2024","1","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Dashboard","org.example.Dashboard","verifyElemntsOnPageTest","verifyElemntsOnPageTest",""
"passed","Tue Jul 09 10:32:04 IST 2024","Tue Jul 09 10:32:08 IST 2024","3757","Default Suite","SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","LoginpagewithvalidInput","LoginpagewithvalidInput",""
"passed","Mon Jun 17 15:23:14 IST 2024","Mon Jun 17 15:23:20 IST 2024","6181","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.Signpage","org.example.Signpage","signuppage","signuppage",""
"broken","Fri Jul 05 12:58:48 IST 2024","Fri Jul 05 12:58:48 IST 2024","26","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.PayBill","org.example.PayBill","setUp","setUp",""
"broken","Tue Jun 18 10:55:09 IST 2024","Tue Jun 18 10:55:09 IST 2024","3","All Test Suite","C:/Users/Neha Rana/IdeaProjects/SeleniumSkwadProject","org.example.LoginPage","org.example.LoginPage","openBrowser","openBrowser",""
